Malls,Done
100 AM[1],
313@Somerset[2],Yes
Aperia,
Balestier Hill Shopping Centre,
Bugis Cube[3],
Bugis Junction,Yes
Bugis+,Yes
Capitol Piazza,
Cathay Cineleisure Orchard,
Clarke Quay Central,
The Centrepoint,
City Square Mall,Yes
City Gate Mall[4],
CityLink Mall,
Duo,
Far East Plaza,Yes
Funan,Yes
Great World City,
HDB Hub,
Holland Village Shopping Mall,
ION Orchard,Yes
Junction 8,Yes
Knightsbridge[5],
Liat Towers,
Lucky Plaza,
Marina Bay Sands,
The Shoppes at Marina Bay Sands[6],
Marina Bay Link Mall,
Marina Square,Yes
Millenia Walk,
Mustafa Shopping Centre,
Ngee Ann City,Yes
Orchard Central,Yes
Orchard Gateway,
Orchard Plaza[7],
Midpoint Orchard[8],
Palais Renaissance,
People's Park Centre,
People's Park Complex,
Plaza Singapura,Yes
PoMo,
Raffles City,
Scotts Square[9],
Shaw House and Centre,
Sim Lim Square,
Singapore Shopping Centre,
The South Beach,
Square 2,
Sunshine Plaza[10],
Suntec City,Yes
Tanglin Mall[11],
Tanjong Pagar Centre,
Tekka Centre,
The Adelphi,
The Paragon,Yes
Tiong Bahru Plaza,Yes
The Poiz[12],
Thomson Plaza,
United Square[13],
Thomson V,
Velocity@Novena Square,Yes
Wheelock Place,
Wisma Atria,
Zhongshan Mall[14],
,
Bedok Mall,Yes
Century Square,
Changi City Point,
Downtown East,
Djitsun Mall Bedok,
Eastpoint Mall,
Jewel Changi Airport,
KINEX (formerly OneKM),Yes
Katong Shopping Centre,
Katong Square[15],
Kallang Wave Mall,
Leisure Park Kallang,
i12 Katong,
Our Tampines Hub,
Parkway Parade,Yes
Pasir Ris West Plaza,
Paya Lebar Square,Yes
Paya Lebar Quarter (PLQ),Yes
Roxy Square[16],
Singpost Centre[17],
Tampines 1,Yes
Tampines Mall,Yes
White Sands,Yes
City Plaza[18],
Elias Mall[19],
Loyang Point[20],
,
888 Plaza[21],
Admiralty Place,
AMK Hub,Yes
Canberra Plaza,
Causeway Point,
Woodlands Civic Centre,
Broadway Plaza,
Jubilee Square,
Junction 8,Yes
Junction Nine,
Marsiling Mall,
Northpoint City,Yes
Sembawang Shopping Centre,
Sun Plaza,
Vista Point,
Wisteria Mall,
Woodlands Mart,
Woodlands North Plaza,
,
Buangkok Square,
Compass One,Yes
Greenwich V,
Heartland Mall,Yes
Hougang 1,Yes
Hougang Green Shopping Mall,
Hougang Mall,Yes
NEX,Yes
Northshore Plaza,
Oasis Terraces,
Punggol Plaza,
Rivervale Mall,
Rivervale Plaza,
Sengkang Grand Mall,
The Seletar Mall,Yes
Upper Serangoon Shopping Centre,
Waterway Point,Yes
myVillage At Serangoon Garden,
,
Beauty World Centre,
Beauty World Plaza,
Bukit Panjang Plaza,
Bukit Timah Plaza,
Fajar Shopping Centre,
Greenridge Shopping Centre,
Hillion Mall,Yes
HillV2,
Junction 10,
Keat Hong Shopping Centre,
Limbang Shopping Centre,
Lot One,Yes
Rail Mall,
Sunshine Place,
Teck Whye Shopping Centre,
West Mall,
Yew Tee Point,
Yew Tee Square,
,
VivoCity,Yes
HarbourFront Centre,
Alexandra Retail Centre,
,
321 Clementi,
The Clementi Mall,
IMM,Yes
JCube,
Jem,
Westgate,Yes
Jurong Point,Yes
Pioneer Mall,
The Star Vista,Yes
Alexandra Central,
Anchorpoint,
OD Mall,
Boon Lay Shopping Centre,
Grantral Mall,
Fairprice Hub,
Gek Poh Shopping Centre,
Rochester Mall,
Taman Jurong Shopping Centre,
West Coast Plaza,
Queensway Shopping Centre,Yes
The Rail Mall,
